DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 10:27:37
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.24;0.13;-0.05;0.01;-0.03;0.15;-0.07;-0.16;-0.09;0.01;-0.45;
0.05;0.24;0.13;-0.06;-0.04;-0.02;0.15;-0.24;-0.17;-0.08;0.01;-0.46;
0.10;0.23;0.11;-0.06;-0.01;-0.02;0.14;-0.06;-0.16;-0.08;0.01;-0.51;
0.15;0.22;0.12;-0.07;-0.01;-0.03;0.14;-0.25;-0.16;-0.08;-0.01;-0.50;
0.20;0.22;0.13;-0.07;-0.06;-0.04;0.14;-0.13;-0.17;-0.08;0.00;-0.52;
0.25;0.22;0.14;-0.06;-0.04;-0.05;0.14;-0.27;-0.16;-0.08;-0.01;-0.48;
0.30;0.23;0.12;-0.05;-0.06;-0.06;0.14;-0.07;-0.16;-0.08;-0.02;-0.47;
0.35;0.24;0.13;-0.04;-0.07;-0.06;0.13;-0.27;-0.15;-0.09;-0.01;-0.43;
0.40;0.25;0.14;-0.04;-0.02;-0.06;0.13;-0.08;-0.16;-0.09;0.01;-0.43;
0.45;0.25;0.15;-0.05;-0.08;-0.05;0.14;-0.26;-0.15;-0.09;0.02;-0.42;
0.50;0.25;0.14;-0.05;-0.06;-0.04;0.14;-0.08;-0.15;-0.09;0.02;-0.45;
0.55;0.25;0.13;-0.06;-0.03;-0.03;0.14;-0.26;-0.16;-0.09;0.00;-0.46;
0.60;0.24;0.14;-0.06;-0.09;-0.03;0.14;-0.07;-0.17;-0.09;0.02;-0.49;
0.65;0.23;0.14;-0.06;-0.06;-0.03;0.13;-0.26;-0.15;-0.08;0.02;-0.49;
0.70;0.22;0.17;-0.06;-0.04;-0.03;0.13;-0.08;-0.18;-0.08;0.01;-0.51;
0.75;0.22;0.14;-0.06;-0.05;-0.04;0.15;-0.27;-0.16;-0.08;-0.01;-0.48;
0.80;0.22;0.11;-0.06;-0.03;-0.05;0.15;-0.09;-0.18;-0.08;0.01;-0.47;
0.85;0.23;0.13;-0.06;-0.03;-0.05;0.15;-0.27;-0.15;-0.08;0.01;-0.44;
0.90;0.24;0.15;-0.05;-0.01;-0.05;0.14;-0.08;-0.15;-0.08;0.00;-0.44;
0.95;0.24;0.13;-0.05;0.02;-0.05;0.14;-0.26;-0.16;-0.09;0.01;-0.44;
1.00;0.25;0.13;-0.05;0.02;-0.04;0.14;-0.07;-0.17;-0.09;0.02;-0.47;
1.05;0.25;0.13;-0.05;0.02;-0.03;0.14;-0.29;-0.17;-0.09;0.03;-0.48;
