DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 11:06:34
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.17;0.10;-0.14;0.03;-0.09;0.19;0.03;0.00;-0.14;-0.05;-0.65;
0.05;0.18;0.11;-0.13;-0.03;-0.10;0.18;-0.15;0.00;-0.13;-0.03;-0.67;
0.10;0.18;0.09;-0.11;-0.02;-0.11;0.17;0.00;0.03;-0.12;-0.03;-0.69;
0.15;0.18;0.09;-0.10;-0.04;-0.12;0.17;-0.17;0.03;-0.12;-0.06;-0.76;
0.20;0.18;0.09;-0.09;-0.08;-0.12;0.18;-0.01;0.02;-0.13;-0.08;-0.79;
0.25;0.18;0.10;-0.10;-0.05;-0.11;0.19;-0.18;0.03;-0.14;-0.07;-0.79;
0.30;0.17;0.09;-0.11;-0.06;-0.10;0.20;-0.01;0.04;-0.15;-0.09;-0.73;
0.35;0.18;0.09;-0.12;-0.05;-0.09;0.19;-0.17;0.03;-0.15;-0.08;-0.68;
0.40;0.18;0.09;-0.12;-0.02;-0.09;0.18;-0.02;0.05;-0.15;-0.08;-0.64;
0.45;0.18;0.10;-0.13;0.04;-0.09;0.18;-0.18;0.05;-0.14;-0.06;-0.65;
0.50;0.17;0.11;-0.13;0.02;-0.09;0.20;-0.02;0.04;-0.13;-0.05;-0.69;
0.55;0.17;0.11;-0.14;-0.02;-0.09;0.19;-0.18;0.05;-0.13;-0.06;-0.74;
0.60;0.17;0.10;-0.15;-0.03;-0.09;0.18;-0.02;0.06;-0.13;-0.07;-0.74;
0.65;0.18;0.09;-0.15;-0.11;-0.09;0.18;-0.19;0.04;-0.14;-0.05;-0.72;
0.70;0.18;0.09;-0.14;-0.07;-0.10;0.19;-0.04;0.05;-0.15;-0.07;-0.69;
0.75;0.19;0.09;-0.12;-0.06;-0.10;0.19;-0.20;0.03;-0.15;-0.09;-0.66;
0.80;0.19;0.10;-0.09;-0.06;-0.10;0.20;-0.05;0.03;-0.15;-0.10;-0.63;
0.85;0.18;0.09;-0.09;-0.04;-0.10;0.19;-0.20;0.02;-0.14;-0.10;-0.63;
0.90;0.17;0.09;-0.09;-0.00;-0.11;0.19;-0.03;0.04;-0.13;-0.10;-0.65;
0.95;0.16;0.10;-0.10;-0.03;-0.11;0.19;-0.20;0.02;-0.13;-0.07;-0.68;
1.00;0.16;0.09;-0.11;-0.05;-0.10;0.20;-0.06;0.01;-0.12;-0.05;-0.73;
1.05;0.17;0.09;-0.12;0.00;-0.09;0.20;-0.25;0.02;-0.12;-0.05;-0.76;
1.10;0.18;0.10;-0.14;-0.05;-0.09;0.19;-0.12;0.03;-0.12;-0.05;-0.78;
1.15;0.19;0.09;-0.15;-0.06;-0.09;0.19;-0.31;0.04;-0.13;-0.05;-0.77;
1.20;0.19;0.09;-0.15;-0.06;-0.09;0.20;-0.16;0.03;-0.15;-0.07;-0.75;
1.25;0.18;0.09;-0.14;-0.09;-0.10;0.19;-0.33;0.03;-0.16;-0.09;-0.70;
1.30;0.17;0.10;-0.12;-0.04;-0.11;0.18;-0.15;0.03;-0.16;-0.10;-0.65;
1.35;0.17;0.11;-0.10;-0.02;-0.11;0.19;-0.30;0.02;-0.15;-0.11;-0.59;
1.40;0.18;0.11;-0.09;-0.01;-0.10;0.19;-0.11;0.02;-0.14;-0.09;-0.59;
1.45;0.18;0.11;-0.10;-0.03;-0.10;0.18;-0.28;0.03;-0.13;-0.06;-0.63;
1.50;0.17;0.10;-0.12;0.01;-0.09;0.18;-0.11;0.03;-0.13;-0.05;-0.70;
1.55;0.16;0.10;-0.13;-0.04;-0.08;0.18;-0.30;0.02;-0.14;-0.03;-0.73;
1.60;0.16;0.09;-0.13;-0.06;-0.08;0.18;-0.14;0.04;-0.15;-0.04;-0.75;
1.65;0.16;0.09;-0.13;-0.03;-0.09;0.19;-0.32;0.05;-0.15;-0.08;-0.73;
1.70;0.17;0.11;-0.13;-0.08;-0.10;0.19;-0.15;0.03;-0.14;-0.08;-0.74;
1.75;0.19;0.13;-0.14;-0.07;-0.10;0.19;-0.33;0.03;-0.13;-0.09;-0.73;
1.80;0.21;0.10;-0.14;-0.05;-0.11;0.20;-0.15;0.03;-0.12;-0.10;-0.75;
1.85;0.21;0.10;-0.13;-0.05;-0.11;0.19;-0.34;0.02;-0.12;-0.09;-0.72;
1.90;0.20;0.10;-0.12;-0.04;-0.10;0.19;-0.18;0.02;-0.13;-0.08;-0.69;
1.95;0.18;0.09;-0.09;0.00;-0.10;0.19;-0.36;0.03;-0.13;-0.07;-0.61;
2.00;0.15;0.08;-0.08;0.02;-0.10;0.19;-0.18;0.03;-0.14;-0.06;-0.59;
2.05;0.14;0.08;-0.09;-0.02;-0.11;0.19;-0.33;0.02;-0.14;-0.05;-0.56;
2.10;0.14;0.10;-0.11;-0.01;-0.11;0.19;-0.13;0.02;-0.15;-0.05;-0.62;
2.15;0.16;0.11;-0.13;-0.07;-0.10;0.18;-0.28;0.02;-0.15;-0.05;-0.69;
2.20;0.18;0.10;-0.15;-0.09;-0.08;0.19;-0.10;0.04;-0.15;-0.03;-0.79;
2.25;0.20;0.09;-0.16;-0.04;-0.07;0.19;-0.28;0.02;-0.15;-0.04;-0.81;
2.30;0.21;0.09;-0.14;-0.06;-0.07;0.18;-0.11;0.00;-0.14;-0.08;-0.81;
2.35;0.21;0.10;-0.12;-0.04;-0.08;0.19;-0.31;0.01;-0.13;-0.11;-0.73;
2.40;0.20;0.11;-0.10;-0.01;-0.10;0.19;-0.16;0.02;-0.12;-0.11;-0.69;
2.45;0.18;0.09;-0.08;0.01;-0.12;0.19;-0.34;0.02;-0.12;-0.08;-0.63;
2.50;0.15;0.09;-0.08;-0.02;-0.13;0.19;-0.16;0.04;-0.13;-0.05;-0.63;
2.55;0.14;0.10;-0.10;-0.00;-0.12;0.19;-0.33;0.04;-0.14;-0.06;-0.61;
2.60;0.14;0.10;-0.13;-0.02;-0.10;0.17;-0.14;0.04;-0.15;-0.04;-0.67;
2.65;0.16;0.11;-0.15;-0.07;-0.09;0.18;-0.29;0.07;-0.14;-0.05;-0.70;
2.70;0.19;0.11;-0.17;-0.05;-0.09;0.18;-0.10;0.03;-0.13;-0.04;-0.76;
2.75;0.21;0.10;-0.16;-0.11;-0.08;0.19;-0.26;0.03;-0.13;-0.05;-0.76;
2.80;0.22;0.09;-0.14;-0.08;-0.08;0.18;-0.06;0.02;-0.13;-0.06;-0.75;
2.85;0.21;0.09;-0.11;-0.00;-0.08;0.18;-0.26;0.02;-0.14;-0.07;-0.66;
2.90;0.19;0.10;-0.09;0.03;-0.08;0.18;-0.09;0.01;-0.14;-0.06;-0.63;
2.95;0.16;0.12;-0.08;0.02;-0.09;0.19;-0.28;0.04;-0.15;-0.07;-0.58;
3.00;0.15;0.12;-0.09;-0.00;-0.10;0.19;-0.11;0.03;-0.15;-0.06;-0.61;
3.05;0.15;0.12;-0.10;0.01;-0.11;0.18;-0.29;0.03;-0.15;-0.06;-0.64;
3.10;0.17;0.10;-0.12;-0.04;-0.12;0.18;-0.11;0.03;-0.14;-0.07;-0.71;
3.15;0.19;0.12;-0.13;-0.03;-0.13;0.17;-0.29;0.04;-0.14;-0.08;-0.73;
3.20;0.20;0.11;-0.13;-0.08;-0.12;0.18;-0.11;0.04;-0.13;-0.08;-0.78;
3.25;0.19;0.10;-0.13;-0.10;-0.11;0.19;-0.26;0.04;-0.12;-0.07;-0.77;
3.30;0.18;0.09;-0.13;-0.06;-0.09;0.19;-0.06;0.04;-0.12;-0.06;-0.80;
3.35;0.17;0.10;-0.13;-0.05;-0.07;0.18;-0.23;0.06;-0.12;-0.08;-0.76;
3.40;0.17;0.10;-0.14;-0.04;-0.07;0.18;-0.07;0.06;-0.12;-0.06;-0.75;
3.45;0.17;0.11;-0.12;-0.01;-0.06;0.18;-0.27;0.05;-0.13;-0.06;-0.68;
3.50;0.18;0.10;-0.11;0.04;-0.07;0.19;-0.11;0.03;-0.14;-0.06;-0.65;
3.55;0.18;0.09;-0.10;-0.01;-0.09;0.18;-0.29;0.04;-0.15;-0.07;-0.59;
3.60;0.18;0.09;-0.10;-0.03;-0.11;0.18;-0.11;0.05;-0.16;-0.07;-0.61;
3.65;0.18;0.09;-0.10;-0.04;-0.12;0.19;-0.26;0.02;-0.16;-0.06;-0.61;
3.70;0.17;0.11;-0.12;-0.10;-0.13;0.19;-0.06;0.01;-0.16;-0.05;-0.67;
