DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 11:21:25
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.16;0.04;-0.15;-0.07;-0.12;0.14;-0.14;0.01;-0.17;-0.04;-0.87;
0.05;0.17;0.07;-0.14;-0.04;-0.12;0.13;-0.01;0.03;-0.16;-0.04;-0.83;
0.10;0.17;0.08;-0.14;-0.02;-0.12;0.15;-0.14;0.01;-0.16;-0.04;-0.85;
0.15;0.17;0.06;-0.14;-0.01;-0.12;0.15;-0.01;-0.01;-0.16;-0.05;-0.83;
0.20;0.17;0.05;-0.14;-0.05;-0.12;0.14;-0.14;0.01;-0.16;-0.05;-0.85;
0.25;0.17;0.06;-0.13;-0.01;-0.12;0.14;-0.01;0.01;-0.16;-0.06;-0.85;
0.30;0.16;0.06;-0.14;-0.06;-0.12;0.15;-0.14;0.01;-0.16;-0.06;-0.88;
0.35;0.16;0.06;-0.13;-0.09;-0.12;0.15;-0.01;0.02;-0.16;-0.07;-0.87;
0.40;0.15;0.06;-0.14;-0.07;-0.11;0.13;-0.13;0.02;-0.16;-0.05;-0.89;
0.45;0.16;0.07;-0.14;-0.12;-0.11;0.13;-0.01;0.02;-0.17;-0.04;-0.86;
0.50;0.16;0.07;-0.14;-0.10;-0.11;0.15;-0.13;0.02;-0.17;-0.02;-0.87;
0.55;0.17;0.06;-0.14;-0.08;-0.11;0.15;-0.01;0.02;-0.17;-0.03;-0.84;
0.60;0.17;0.05;-0.14;-0.08;-0.11;0.14;-0.13;0.02;-0.17;-0.04;-0.86;
0.65;0.17;0.03;-0.14;-0.06;-0.12;0.14;-0.01;0.02;-0.17;-0.05;-0.83;
0.70;0.17;0.04;-0.14;-0.04;-0.12;0.13;-0.13;0.01;-0.16;-0.05;-0.86;
0.75;0.17;0.06;-0.14;-0.03;-0.12;0.13;-0.01;0.02;-0.16;-0.04;-0.84;
0.80;0.16;0.06;-0.14;-0.06;-0.13;0.14;-0.13;0.02;-0.16;-0.04;-0.87;
