DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 10:14:14
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.26;0.08;-0.03;-0.11;-0.01;0.09;0.07;-0.12;-0.06;-0.05;-0.35;
0.05;0.26;0.08;-0.03;-0.07;-0.02;0.10;0.03;-0.14;-0.06;-0.06;-0.35;
0.10;0.27;0.10;-0.03;-0.05;-0.02;0.11;0.07;-0.15;-0.06;-0.06;-0.34;
0.15;0.26;0.09;-0.03;-0.04;-0.02;0.11;0.03;-0.15;-0.06;-0.05;-0.35;
0.20;0.26;0.09;-0.03;-0.02;-0.02;0.10;0.08;-0.15;-0.06;-0.06;-0.34;
0.25;0.25;0.09;-0.03;-0.02;-0.02;0.09;0.04;-0.14;-0.06;-0.07;-0.35;
0.30;0.25;0.08;-0.03;-0.01;-0.01;0.09;0.08;-0.14;-0.06;-0.05;-0.35;
0.35;0.25;0.08;-0.03;-0.02;-0.01;0.10;0.03;-0.14;-0.06;-0.02;-0.36;
0.40;0.25;0.08;-0.03;0.02;-0.01;0.09;0.08;-0.15;-0.07;-0.04;-0.34;
0.45;0.25;0.10;-0.03;0.03;-0.02;0.10;0.03;-0.14;-0.07;-0.06;-0.35;
0.50;0.26;0.10;-0.03;-0.01;-0.02;0.10;0.08;-0.13;-0.07;-0.05;-0.33;
0.55;0.26;0.10;-0.04;0.03;-0.02;0.11;0.03;-0.15;-0.06;-0.05;-0.34;
0.60;0.27;0.08;-0.03;-0.01;-0.02;0.11;0.08;-0.15;-0.06;-0.05;-0.34;
0.65;0.27;0.07;-0.03;-0.02;-0.02;0.10;0.04;-0.15;-0.06;-0.05;-0.36;
0.70;0.27;0.07;-0.02;0.00;-0.02;0.10;0.08;-0.16;-0.06;-0.04;-0.35;
0.75;0.26;0.10;-0.03;-0.06;-0.02;0.11;0.02;-0.16;-0.06;-0.06;-0.37;
0.80;0.26;0.09;-0.03;-0.04;-0.02;0.11;0.08;-0.13;-0.06;-0.07;-0.36;
0.85;0.25;0.09;-0.04;-0.06;-0.01;0.09;0.02;-0.12;-0.06;-0.07;-0.36;
